Time,Action
00:00:17.6106758,"CardIn"
00:00:26.8625497,"Keyboard,1"
00:00:27.1689785,"Keyboard,2"
00:00:27.5121932,"Keyboard,3"
00:00:28.3160053,"Keyboard,Confirm"
00:00:30.2830039,"ChooseTask,Draw"
00:00:31.1701037,"Task Panel Show"
00:00:36.0902805,"Keyboard,1"
00:00:36.8579595,"Keyboard,00"
00:00:37.4905577,"Keyboard,00"
00:00:38.0898756,"Keyboard,Confirm"
00:00:40.8949830,"Take Money"
00:00:43.3560499,"DrawThird,Return"
00:00:44.5875568,"ChooseTask,BtnExit"
00:00:44.5905487,"Task Finished"
00:00:44.5905487,"EMPTY Total Time"
