Time,Action
00:00:10.5842962,"CardIn"
00:00:16.0513999,"Keyboard,1"
00:00:16.5108807,"Keyboard,2"
00:00:17.0889078,"Keyboard,3"
00:00:17.7842593,"Password,Confirm"
00:00:23.6712479,"Task Panel Show"
00:00:25.1651405,"Keyboard,5"
00:00:25.7411919,"Keyboard,6"
00:00:26.1820305,"Keyboard,2"
00:00:26.9117075,"Keyboard,7"
00:00:28.3539512,"Keyboard,8"
00:00:28.7950965,"Keyboard,9"
00:00:29.9656982,"Keyboard,7"
00:00:30.8313787,"Keyboard,8"
00:00:31.8844145,"Keyboard,7"
00:00:32.1387352,"Keyboard,7"
00:00:33.1572448,"Keyboard,3"
00:00:34.4633161,"Keyboard,0"
00:00:35.7862705,"Keyboard,6"
00:00:36.1094203,"Keyboard,6"
00:00:36.4305488,"Keyboard,6"
00:00:36.7187771,"Keyboard,6"
00:00:37.2287798,"Keyboard,5"
00:00:37.4160050,"Keyboard,5"
00:00:37.8737802,"Keyboard,6"
00:00:40.4716886,"TransferFirst,Confirm"
00:00:41.9492652,"TransferFirst,Confirm"
00:00:44.7288658,"Keyboard,1"
00:00:46.3752181,"Keyboard,00"
00:00:47.0879927,"Keyboard,00"
00:00:48.7557295,"TransferFirst,Confirm"
00:00:53.6726467,"Task Panel Hide"
00:00:53.7753768,"TransferForth,Return"
00:00:56.2508828,"ChooseTask,BtnExit"
00:00:56.2528777,"Task Finished"
00:00:56.2538764,"EMPTY Total Time"
