Time,Action
00:00:10.1416855,"CardIn"
00:00:15.3175036,"Task Panel Show"
00:00:16.4550976,"Keyboard,1"
00:00:16.8296590,"Keyboard,2"
00:00:17.3203715,"Keyboard,3"
00:00:18.3384043,"Password,Confirm"
00:00:23.0880782,"Keyboard,6"
00:00:24.0224602,"Keyboard,2"
00:00:24.3605506,"Keyboard,2"
00:00:25.1908498,"Keyboard,7"
00:00:25.7339473,"Keyboard,8"
00:00:25.9373757,"Keyboard,8"
00:00:26.2934533,"Keyboard,8"
00:00:26.5814949,"Keyboard,8"
00:00:27.0737925,"Keyboard,7"
00:00:27.3295416,"Keyboard,7"
00:00:27.6347235,"Keyboard,7"
00:00:27.9229575,"Keyboard,7"
00:00:29.0426270,"Keyboard,6"
00:00:29.2969277,"Keyboard,6"
00:00:29.6360726,"Keyboard,6"
00:00:29.9415417,"Keyboard,6"
00:00:30.6202900,"Keyboard,5"
00:00:30.8576266,"Keyboard,5"
00:00:31.3494088,"Keyboard,6"
00:00:32.1831818,"TransferFirst,Confirm"
00:00:33.7955509,"TransferFirst,Confirm"
00:00:36.3563462,"Keyboard,1"
00:00:39.4262942,"Keyboard,00"
00:00:41.1081589,"TransferFirst,Confirm"
00:00:45.3299593,"Task Panel Hide"
00:00:47.1293996,"TransferForth,Return"
00:00:48.5362921,"ChooseTask,BtnExit"
00:00:48.5382864,"Task Finished"
00:00:48.5392860,"EMPTY Total Time"
