Time,Action
00:00:11.8986328,"CardIn"
00:00:19.7585952,"Keyboard,1"
00:00:20.1331584,"Keyboard,2"
00:00:20.5560238,"Keyboard,3"
00:00:21.3885523,"Password,Confirm"
00:00:25.2917437,"TransferFirst,Return"
00:00:28.5498160,"ChooseTask,Draw"
00:00:30.5684308,"Task Panel Show"
00:00:32.1148659,"DrawFirst,100"
00:00:33.9972657,"Keyboard,00"
00:00:35.0515006,"DrawFirst,Confirm"
00:00:41.5299803,"DrawThird,Return"
00:00:42.7174566,"Take Money"
00:00:50.2855029,"DrawThird,Return"
00:00:53.5754648,"ChooseTask,BtnExit"
00:00:53.5774595,"Task Finished"
00:00:53.5784569,"EMPTY Total Time"
