Time,Action
00:00:12.7706587,"CardIn"
00:00:20.0190812,"Task Panel Show"
00:00:23.0070663,"Keyboard,1"
00:00:23.3137811,"Keyboard,2"
00:00:23.5726997,"Keyboard,3"
00:00:24.3751134,"Keyboard,Confirm"
00:00:34.5094841,"Keyboard,6"
00:00:35.7754225,"Keyboard,2"
00:00:37.1413482,"Keyboard,7"
00:00:39.0418162,"TransferFirst,Clear"
00:00:40.4062164,"Keyboard,6"
00:00:41.3467529,"Keyboard,2"
00:00:41.5171305,"Keyboard,2"
00:00:43.0569976,"Keyboard,7"
00:00:43.5163432,"Keyboard,5"
00:00:44.4208870,"Keyboard,0"
00:00:44.8307137,"Keyboard,8"
00:00:45.6010701,"Keyboard,2"
00:00:46.5233330,"Keyboard,3"
00:00:46.9672652,"Keyboard,5"
00:00:48.4895615,"Keyboard,0"
00:00:49.6521210,"Keyboard,7"
00:00:50.0285401,"Task Panel Hide"
00:00:50.3190681,"Keyboard,6"
00:00:50.5059054,"Keyboard,6"
00:00:51.5012424,"Task Panel Show"
00:00:53.5028811,"Keyboard,4"
00:00:53.8974534,"Keyboard,2"
00:00:56.0496564,"Keyboard,8"
00:00:56.3724233,"Keyboard,5"
00:00:56.6635778,"Keyboard,6"
00:00:58.7716500,"TransferFirst,Confirm"
00:01:07.1239201,"TransferFirst,Confirm"
00:01:17.2072783,"Task Panel Hide"
00:01:18.3519547,"Task Panel Show"
00:00:00,"EMPTY Total Time"
