Time,Action
00:00:13.1542049,"CardIn"
00:00:45.5457464,"Password,Confirm"
00:00:48.1380166,"ChooseTask,Balance"
00:00:50.4820996,"Balance,Confirm"
00:00:51.8664039,"ChooseTask,Exit"
00:00:53.7543452,"CardIn"
00:01:06.3667989,"Password,Confirm"
00:01:09.4398839,"ChooseTask,Transfer"
00:01:14.7747228,"TransferFirst,Confirm"
00:01:17.0310527,"TransferFirst,Clear"
00:01:25.6351071,"TransferFirst,Confirm"
00:01:26.8316331,"TransferFirst,Clear"
00:01:27.5252312,"TransferFirst,Return"
00:01:28.6857131,"ChooseTask,Draw"
00:01:30.3663804,"Task Panel Show"
00:01:31.0388765,"Task Panel Hide"
00:01:36.0131634,"DrawFirst,Confirm"
00:01:40.0324686,"Take Money"
00:02:58.6560966,"DrawThird,Return"
00:03:36.2318792,"ChooseTask,Draw"
00:03:41.5092324,"DrawFirst,Return"
00:03:45.4195251,"ChooseTask,Balance"
00:03:49.9359768,"Balance,Confirm"
00:00:00,"EMPTY Total Time"
