Time,Action
00:00:09.5579735,"CardIn"
00:00:17.9487258,"Password,Confirm"
00:00:19.1611244,"Task Panel Show"
00:00:33.1928433,"TransferFirst,Confirm"
00:00:34.5998641,"TransferFirst,Confirm"
00:00:35.7910784,"Keyboard,5"
00:00:36.2692755,"Keyboard,5"
00:00:36.4751111,"Keyboard,5"
00:00:36.6473425,"Keyboard,5"
00:00:36.8519056,"Keyboard,5"
00:00:37.3303234,"Keyboard,5"
00:00:37.7047849,"Keyboard,5"
00:00:49.1660577,"Task Panel Hide"
00:00:54.8006835,"Keyboard,3"
00:00:55.2112178,"Keyboard,3"
00:00:55.8072742,"Keyboard,3"
00:00:56.9146265,"Keyboard,3"
00:01:18.2297792,"TransferFirst,Confirm"
00:01:19.6784536,"TransferFirst,Confirm"
00:01:22.5850610,"TransferFirst,Confirm"
00:01:23.1133066,"TransferFirst,Confirm"
00:01:23.5770390,"TransferFirst,Confirm"
00:01:24.7732495,"TransferFirst,Confirm"
00:01:26.2589030,"TransferFirst,Confirm"
00:01:27.2852453,"TransferFirst,Confirm"
00:01:27.8988107,"TransferFirst,Confirm"
00:01:28.5167315,"TransferFirst,Confirm"
00:01:33.9305027,"TransferFirst,Confirm"
00:00:00,"EMPTY Total Time"
