Time,Action
00:00:09.6988365,"CardIn"
00:00:20.1111508,"Keyboard,1"
00:00:20.3838582,"Keyboard,2"
00:00:20.6580092,"Keyboard,3"
00:00:21.5211040,"Keyboard,Confirm"
00:00:26.3860921,"Task Panel Show"
00:00:27.5989539,"Keyboard,6"
00:00:28.1434617,"Keyboard,2"
00:00:28.3008395,"Keyboard,2"
00:00:29.1371704,"Keyboard,7"
00:00:29.5122908,"Keyboard,5"
00:00:30.5376597,"Keyboard,0"
00:00:30.8930250,"Keyboard,8"
00:00:31.3531080,"Keyboard,2"
00:00:32.7908486,"Keyboard,3"
00:00:33.1905129,"Keyboard,5"
00:00:34.1028260,"Keyboard,0"
00:00:34.5953761,"Keyboard,7"
00:00:35.7275631,"Keyboard,6"
00:00:35.8979224,"Keyboard,6"
00:00:36.4712956,"Keyboard,4"
00:00:36.8798668,"Keyboard,2"
00:00:37.8976213,"Keyboard,8"
00:00:38.1857516,"Keyboard,5"
00:00:38.4493673,"Keyboard,6"
00:00:40.3140983,"TransferFirst,Confirm"
00:00:44.3880439,"TransferFirst,Confirm"
00:00:46.3398696,"Keyboard,1"
00:00:47.1544836,"Keyboard,00"
00:00:48.3745613,"Keyboard,Confirm"
00:00:53.3279048,"TransferForth,GoOn"
00:00:55.7005507,"Task Finished"
00:00:55.7025449,"TransferFirst,Exit"
00:00:56.4044497,"Task Panel Hide"
00:00:55.7015472,"EMPTY Total Time"
