Time,Action
00:00:09.1847084,"CardIn"
00:00:09.3552273,"CardIn"
00:00:09.5094303,"CardIn"
00:00:16.7990448,"Password,Confirm"
00:00:20.2676941,"Task Panel Show"
00:00:40.6532148,"TransferFirst,Confirm"
00:00:46.1598247,"TransferFirst,Confirm"
00:00:50.2692036,"Task Panel Hide"
00:01:19.0175354,"Keyboard,3"
00:01:19.8542647,"Keyboard,3"
00:01:20.3159686,"Keyboard,3"
00:01:20.5373683,"Keyboard,3"
00:01:22.3984777,"Keyboard,5"
00:01:22.7752064,"Keyboard,6"
00:01:23.1685407,"Keyboard,2"
00:01:23.4958775,"Keyboard,1"
00:01:23.7685625,"Keyboard,4"
00:01:24.1614017,"Keyboard,7"
00:01:24.4691995,"Keyboard,8"
00:01:24.7414433,"Keyboard,9"
00:01:24.9808001,"Keyboard,6"
00:01:25.2895069,"Keyboard,3"
00:01:25.6323330,"Keyboard,2"
00:01:25.9925270,"Keyboard,1"
00:01:26.3333677,"Keyboard,4"
00:01:26.6752601,"Keyboard,7"
00:01:27.0165621,"Keyboard,8"
00:01:27.3419556,"Keyboard,9"
00:01:27.6530756,"Keyboard,6"
00:00:00,"EMPTY Total Time"
