Time,Action
00:00:09.4089535,"CardIn"
00:00:09.5961463,"CardIn"
00:00:18.7778824,"Password,Clear"
00:00:19.8728727,"Keyboard,1"
00:00:20.1787533,"Keyboard,2"
00:00:20.4498148,"Keyboard,3"
00:00:21.0759009,"Keyboard,Confirm"
00:00:23.4250532,"Task Panel Show"
00:00:24.2747613,"Keyboard,6"
00:00:24.6670923,"Keyboard,2"
00:00:25.5855049,"Keyboard,6"
00:00:26.4232458,"Keyboard,5"
00:00:27.1158735,"Keyboard,7"
00:00:28.1054239,"Keyboard,4"
00:00:28.7201748,"Keyboard,8"
00:00:28.9591442,"Keyboard,8"
00:00:30.0187404,"Keyboard,7"
00:00:30.2492543,"Keyboard,7"
00:00:30.4367699,"Keyboard,7"
00:00:31.0152300,"Keyboard,2"
00:00:32.3731553,"Keyboard,3"
00:00:33.1306446,"Keyboard,5"
00:00:33.5370791,"Keyboard,6"
00:00:33.7270980,"Keyboard,6"
00:00:34.6360476,"Keyboard,5"
00:00:35.2286866,"Keyboard,4"
00:00:35.5521209,"Keyboard,6"
00:00:36.3377310,"TransferFirst,Confirm"
00:00:53.4391438,"Task Panel Hide"
00:00:00,"EMPTY Total Time"
