Time,Action
00:00:09.1922665,"CardIn"
00:00:09.3442309,"CardIn"
00:00:17.7159500,"Password,Confirm"
00:00:21.9670147,"Task Panel Show"
00:00:22.8226815,"Keyboard,6"
00:00:23.5385570,"Keyboard,2"
00:00:23.9316702,"Keyboard,6"
00:00:24.2728902,"Keyboard,5"
00:00:25.9880832,"Keyboard,7"
00:00:26.2961338,"Keyboard,4"
00:00:26.9093797,"Keyboard,8"
00:00:27.0968531,"Keyboard,8"
00:00:27.8695327,"Keyboard,7"
00:00:28.0561981,"Keyboard,7"
00:00:28.2606638,"Keyboard,7"
00:00:29.4056400,"Keyboard,2"
00:00:29.7468913,"Keyboard,3"
00:00:30.5148487,"Keyboard,5"
00:00:30.8385040,"Keyboard,6"
00:00:31.0087793,"Keyboard,6"
00:00:31.8968059,"Keyboard,5"
00:00:32.3239818,"Keyboard,4"
00:00:32.6488427,"Keyboard,6"
00:00:33.4334670,"TransferFirst,Confirm"
00:00:36.0116736,"TransferFirst,Confirm"
00:00:37.6309713,"Keyboard,3"
00:00:41.6480723,"Keyboard,1"
00:00:41.8351505,"Keyboard,1"
00:00:42.1089757,"Keyboard,4"
00:00:42.3480504,"Keyboard,5"
00:00:42.5190306,"Keyboard,5"
00:00:43.8516145,"Keyboard,Clear"
00:00:45.6448462,"Keyboard,1"
00:00:46.0900405,"Keyboard,00"
00:00:46.7214529,"Keyboard,Confirm"
00:00:51.9804180,"Task Panel Hide"
00:04:15.3686128,"TransferForth,Return"
00:04:16.1352071,"ChooseTask,BtnExit"
00:04:16.1381102,"Task Finished"
00:04:16.1381102,"EMPTY Total Time"
