Time,Action
00:00:10.6766885,"CardIn"
00:00:22.6202374,"Task Panel Show"
00:00:25.9710063,"Keyboard,1"
00:00:26.6354782,"Keyboard,2"
00:00:26.9249814,"Keyboard,3"
00:00:27.5922461,"Password,Confirm"
00:00:30.5888158,"Keyboard,6"
00:00:31.0491913,"Keyboard,2"
00:00:31.2375514,"Keyboard,2"
00:00:32.1266985,"Keyboard,7"
00:00:33.4912479,"Keyboard,5"
00:00:34.0373771,"Keyboard,0"
00:00:35.0801337,"Keyboard,8"
00:00:35.6103325,"Keyboard,2"
00:00:36.6723291,"Keyboard,3"
00:00:37.0998747,"Keyboard,5"
00:00:38.7573450,"Keyboard,0"
00:00:39.7316319,"Keyboard,7"
00:00:40.3115699,"Keyboard,6"
00:00:40.5002637,"Keyboard,6"
00:00:41.2870547,"Keyboard,4"
00:00:41.6790215,"Keyboard,2"
00:00:42.8925224,"Keyboard,8"
00:00:43.2000173,"Keyboard,5"
00:00:43.4910512,"Keyboard,6"
00:00:46.5152960,"TransferFirst,Confirm"
00:00:49.9683810,"TransferFirst,Confirm"
00:00:52.5105715,"Keyboard,1"
00:00:52.6323152,"Task Panel Hide"
00:00:53.1773456,"Keyboard,00"
00:00:53.7240650,"Keyboard,0"
00:00:54.8525661,"TransferFirst,Confirm"
00:01:01.2064974,"TransferForth,Return"
00:01:02.4551134,"ChooseTask,BtnExit"
00:01:02.4571077,"Task Finished"
00:01:02.4581049,"EMPTY Total Time"
