Time,Action
00:00:09.2689945,"Keyboard,1"
00:00:09.7666931,"Keyboard,2"
00:00:11.8210482,"CardIn"
00:00:17.0344662,"Keyboard,1"
00:00:17.4290734,"Keyboard,2"
00:00:17.7696137,"Keyboard,3"
00:00:19.5759562,"Keyboard,Confirm"
00:00:27.2425455,"Task Panel Show"
00:00:29.4468824,"Keyboard,6"
00:00:29.9410696,"Keyboard,2"
00:00:31.7932981,"Keyboard,6"
00:00:32.3051609,"Keyboard,5"
00:00:33.3115038,"Keyboard,7"
00:00:34.0068389,"Keyboard,4"
00:00:34.9056588,"Keyboard,8"
00:00:35.1273982,"Keyboard,8"
00:00:35.7216254,"Keyboard,7"
00:00:35.9640891,"Keyboard,7"
00:00:36.2198430,"Keyboard,7"
00:00:37.3200067,"Keyboard,2"
00:00:37.6800373,"Keyboard,3"
00:00:38.3590388,"Keyboard,5"
00:00:38.7683708,"Keyboard,6"
00:00:38.9597590,"Keyboard,6"
00:00:39.5819105,"Keyboard,5"
00:00:40.0237382,"Keyboard,4"
00:00:40.3838941,"Keyboard,6"
00:00:43.1616765,"TransferFirst,Confirm"
00:00:47.5107451,"TransferFirst,Confirm"
00:00:50.6717695,"Keyboard,1"
00:00:51.1322620,"Keyboard,00"
00:00:51.5209676,"Keyboard,0"
00:00:52.4959655,"TransferFirst,Confirm"
00:00:57.2542988,"Task Panel Hide"
00:01:01.2313714,"TransferForth,Return"
00:01:02.2938643,"ChooseTask,BtnExit"
00:01:02.2958852,"Task Finished"
00:01:02.2968806,"EMPTY Total Time"
