Time,Action
00:00:09.1852051,"CardIn"
00:00:09.3165281,"CardIn"
00:00:09.5045353,"CardIn"
00:00:12.5477540,"Task Panel Show"
00:00:13.1610320,"Task Panel Hide"
00:00:16.4751927,"Keyboard,1"
00:00:16.7998378,"Keyboard,2"
00:00:17.1247837,"Keyboard,3"
00:00:17.8090983,"Keyboard,Confirm"
00:00:21.3093088,"Task Panel Show"
00:00:22.4870049,"Keyboard,6"
00:00:23.8009173,"Keyboard,2"
00:00:24.0730126,"Keyboard,2"
00:00:24.8604331,"Keyboard,7"
00:00:26.2437807,"Keyboard,8"
00:00:26.4648876,"Keyboard,8"
00:00:26.7898791,"Keyboard,8"
00:00:27.0628602,"Keyboard,8"
00:00:28.0190710,"Keyboard,7"
00:00:28.2402827,"Keyboard,7"
00:00:28.4452632,"Keyboard,7"
00:00:28.7184539,"Keyboard,7"
00:00:29.4198901,"Keyboard,6"
00:00:29.6755239,"Keyboard,6"
00:00:29.8972380,"Keyboard,6"
00:00:30.1017341,"Keyboard,6"
00:00:31.9811066,"Keyboard,5"
00:00:32.1519419,"Keyboard,5"
00:00:33.0895323,"Keyboard,6"
00:00:34.0005521,"TransferFirst,Confirm"
00:00:43.1018343,"TransferFirst,Confirm"
00:00:45.0321395,"Keyboard,5"
00:00:45.5796222,"Keyboard,00"
00:00:45.9371514,"Keyboard,0"
00:00:51.3259744,"Task Panel Hide"
00:00:55.5067928,"Keyboard,5"
00:00:56.1048691,"Keyboard,00"
00:00:56.5482605,"Keyboard,0"
00:00:57.2832715,"Keyboard,00"
00:00:57.7492203,"Keyboard,5"
00:00:58.1079889,"Keyboard,00"
00:00:58.3290645,"Keyboard,0"
00:00:00,"EMPTY Total Time"
