Time,Action
00:00:10.1155230,"CardIn"
00:00:11.5631522,"Task Panel Show"
00:00:15.8114354,"Keyboard,2"
00:00:16.2498818,"Keyboard,3"
00:00:17.2619432,"Keyboard,6"
00:00:17.9183316,"Keyboard,7"
00:00:18.2911885,"Keyboard,5"
00:00:18.5602269,"Keyboard,4"
00:00:20.1106282,"Keyboard,Confirm"
00:00:21.9807771,"ChooseTask,Draw"
00:00:24.8268433,"Keyboard,1"
00:00:25.5656023,"Keyboard,00"
00:00:25.7345542,"Keyboard,00"
00:00:26.5253608,"Keyboard,Confirm"
00:00:30.8517040,"Take Money"
00:00:00,"EMPTY Total Time"
