Time,Action
00:00:10.3106429,"CardIn"
00:00:16.1235925,"Keyboard,1"
00:00:16.5634474,"Keyboard,2"
00:00:16.9703642,"Keyboard,3"
00:00:17.9305044,"Password,Confirm"
00:00:20.8098641,"Task Panel Show"
00:00:23.1747637,"Keyboard,6"
00:00:23.7658817,"Keyboard,2"
00:00:24.2216634,"Keyboard,6"
00:00:24.6956418,"Keyboard,5"
00:00:25.9121236,"Keyboard,7"
00:00:26.3499495,"Keyboard,4"
00:00:27.5638259,"Keyboard,8"
00:00:27.8012180,"Keyboard,8"
00:00:28.4619063,"Keyboard,7"
00:00:28.6489709,"Keyboard,7"
00:00:29.8124761,"Keyboard,2"
00:00:30.2692976,"Keyboard,3"
00:00:30.9106113,"Keyboard,5"
00:00:31.4005284,"Keyboard,6"
00:00:31.6547120,"Keyboard,6"
00:00:33.0265674,"Keyboard,5"
00:00:33.5160887,"Keyboard,4"
00:00:34.3266908,"Keyboard,6"
00:00:35.5600281,"TransferFirst,Confirm"
00:01:56.4707433,"Task Panel Hide"
00:00:00,"EMPTY Total Time"
