Time,Action
00:00:09.9368098,"CardIn"
00:00:16.3460019,"Keyboard,1"
00:00:16.8886856,"Keyboard,2"
00:00:17.3469200,"Keyboard,3"
00:00:18.0598147,"Password,Confirm"
00:00:22.0827480,"Task Panel Show"
00:00:23.8284667,"Keyboard,6"
00:00:24.3372109,"Keyboard,2"
00:00:24.8120873,"Keyboard,3"
00:00:25.3552016,"Keyboard,1"
00:00:26.4911639,"Keyboard,8"
00:00:26.7968517,"Keyboard,8"
00:00:27.5607555,"Keyboard,9"
00:00:27.9672315,"Keyboard,9"
00:00:28.5630125,"Keyboard,7"
00:00:28.8342579,"Keyboard,7"
00:00:29.1395511,"Keyboard,7"
00:00:29.4107473,"Keyboard,7"
00:00:30.0568732,"Keyboard,2"
00:00:30.2947342,"Keyboard,2"
00:00:30.9559712,"Keyboard,6"
00:00:31.1769814,"Keyboard,6"
00:00:31.8718757,"Keyboard,5"
00:00:32.0603804,"Keyboard,5"
00:00:32.9595829,"Keyboard,6"
00:00:34.3675884,"TransferFirst,Confirm"
00:00:37.7780334,"TransferFirst,Confirm"
00:00:40.3383428,"Keyboard,3"
00:00:41.6953722,"Keyboard,00"
00:00:42.7809143,"Keyboard,0"
00:00:44.3964230,"TransferFirst,Confirm"
00:00:51.1305551,"TransferForth,Return"
00:00:52.0979766,"Task Panel Hide"
00:00:52.5703037,"ChooseTask,BtnExit"
00:00:52.5732959,"Task Finished"
00:00:52.5732959,"EMPTY Total Time"
