Time,Action
00:00:13.1058287,"CardIn"
00:00:15.0586578,"Task Panel Show"
00:00:23.7643973,"Keyboard,1"
00:00:24.0895088,"Keyboard,2"
00:00:24.4480973,"Keyboard,3"
00:00:24.9609314,"Keyboard,Confirm"
00:00:29.4409842,"Keyboard,5"
00:00:29.8183461,"Keyboard,6"
00:00:30.7419813,"Keyboard,2"
00:00:31.2895880,"Keyboard,7"
00:00:32.8098579,"Keyboard,8"
00:00:33.2215307,"Keyboard,9"
00:00:34.7328274,"Keyboard,7"
00:00:35.1096474,"Keyboard,8"
00:00:35.8617866,"Keyboard,7"
00:00:36.0837263,"Keyboard,7"
00:00:36.9166331,"Keyboard,3"
00:00:37.4964131,"Keyboard,0"
00:00:38.4719705,"Keyboard,6"
00:00:38.6789075,"Keyboard,6"
00:00:38.9342498,"Keyboard,6"
00:00:39.2078337,"Keyboard,6"
00:00:40.0640182,"Keyboard,5"
00:00:40.2170800,"Keyboard,5"
00:00:40.5254251,"Keyboard,6"
00:00:41.4187800,"TransferFirst,Confirm"
00:00:45.0583054,"Task Panel Hide"
00:00:45.3192123,"TransferFirst,Confirm"
00:00:46.8197958,"Task Panel Show"
00:00:48.8531653,"Keyboard,1"
00:00:49.4348757,"Keyboard,00"
00:00:49.5880110,"Keyboard,00"
00:00:51.9947616,"Keyboard,1"
00:00:52.5931557,"Keyboard,00"
00:00:52.7964869,"Keyboard,00"
00:00:54.5588779,"Keyboard,1"
00:00:55.1051722,"Keyboard,00"
00:01:04.8030067,"TransferFirst,Clear"
00:01:09.2472764,"TransferFirst,Confirm"
00:01:16.8291778,"Task Panel Hide"
00:01:18.3681382,"Task Panel Show"
00:01:21.3015759,"TransferForth,Return"
00:01:22.0023667,"ChooseTask,BtnExit"
00:01:22.0053583,"Task Finished"
00:01:22.0063559,"EMPTY Total Time"
