Time,Action
00:00:25.1837301,"CardIn"
00:00:32.1207496,"Keyboard,1"
00:00:33.0609312,"Keyboard,2"
00:00:33.3689421,"Keyboard,3"
00:00:35.3311077,"Keyboard,Confirm"
00:00:38.0824307,"Task Panel Show"
00:00:39.4666833,"Keyboard,6"
00:00:39.9277585,"Keyboard,2"
00:00:40.1334659,"Keyboard,2"
00:00:40.8846694,"Keyboard,7"
00:00:41.3118751,"Keyboard,8"
00:00:41.5503443,"Keyboard,8"
00:00:41.7892552,"Keyboard,8"
00:00:41.9939279,"Keyboard,8"
00:00:42.5063495,"Keyboard,7"
00:00:42.6941057,"Keyboard,7"
00:00:42.9162943,"Keyboard,7"
00:00:43.1223726,"Keyboard,7"
00:00:43.8025139,"Keyboard,6"
00:00:44.0082015,"Keyboard,6"
00:00:44.1964706,"Keyboard,6"
00:00:44.4016200,"Keyboard,6"
00:00:44.5895460,"Keyboard,6"
00:00:45.1175016,"Keyboard,5"
00:00:45.3051249,"Keyboard,5"
00:00:45.8861841,"Keyboard,6"
00:00:46.8248689,"TransferFirst,Confirm"
00:00:47.6098125,"TransferFirst,Confirm"
00:00:51.1247291,"Keyboard,6"
00:00:51.5693035,"Keyboard,2"
00:00:51.8080994,"Keyboard,2"
00:00:52.5777225,"Keyboard,7"
00:00:53.4340169,"Keyboard,8"
00:00:53.6546343,"Keyboard,8"
00:00:53.9107404,"Keyboard,8"
00:00:54.2186993,"Keyboard,8"
00:00:54.8329492,"Keyboard,7"
00:00:55.0719267,"Keyboard,7"
00:00:55.3165479,"Keyboard,7"
00:00:55.5894261,"Keyboard,7"
00:00:56.2206255,"Keyboard,6"
00:00:56.4602427,"Keyboard,6"
00:00:56.7164995,"Keyboard,6"
00:00:57.0582696,"Keyboard,6"
00:00:57.8446443,"Keyboard,5"
00:00:57.9817893,"Keyboard,5"
00:00:58.2896296,"Keyboard,6"
00:00:59.4522100,"TransferFirst,Confirm"
00:01:02.1136487,"TransferFirst,Confirm"
00:01:04.1796908,"Keyboard,1"
00:01:06.5145509,"Keyboard,00"
00:01:08.0942347,"Task Panel Hide"
00:01:12.1845062,"TransferFirst,Confirm"
00:01:17.3670988,"TransferForth,Return"
00:01:18.0143100,"ChooseTask,BtnExit"
00:01:18.0182498,"Task Finished"
00:01:18.0232029,"EMPTY Total Time"
