Time,Action
00:00:09.2475854,"CardIn"
00:00:09.4149077,"CardIn"
00:00:13.8352989,"Task Panel Show"
00:00:14.6876861,"Task Panel Hide"
00:00:17.0671058,"Password,Confirm"
00:00:19.3035318,"ChooseTask,Balance"
00:00:20.1548863,"Balance,Confirm"
00:00:21.0941949,"Task Panel Show"
00:00:22.5622831,"ChooseTask,BtnExit"
00:00:51.1710669,"Task Panel Hide"
00:00:53.3748252,"Task Panel Show"
00:00:54.0191654,"Task Panel Hide"
00:00:54.4807078,"Task Panel Show"
00:00:54.8727611,"Task Panel Hide"
00:00:00,"EMPTY Total Time"
