Time,Action
00:00:33.1436128,"CardIn"
00:00:43.2072867,"Task Panel Show"
00:00:51.5954206,"Password,Confirm"
00:00:54.4145478,"ChooseTask,Balance"
00:00:55.7425708,"Balance,Confirm"
00:00:56.2164295,"ChooseTask,BtnExit"
00:00:58.0531774,"CardIn"
00:01:03.5534792,"Keyboard,3"
00:01:04.1792469,"Keyboard,4"
00:01:04.5992319,"Keyboard,5"
00:01:05.7433281,"Keyboard,4"
00:01:06.2194987,"Keyboard,3"
00:01:06.3716163,"Keyboard,3"
00:01:07.9352287,"Password,Confirm"
00:01:09.2443714,"ChooseTask,Draw"
00:01:10.7818291,"DrawFirst,500"
00:01:11.2176559,"DrawFirst,300"
00:01:11.5567193,"DrawFirst,100"
00:01:12.7705332,"DrawFirst,Confirm"
00:01:13.2225546,"Task Panel Hide"
00:01:14.5894267,"Task Panel Show"
00:01:18.3535130,"Keyboard,5"
00:01:18.9097240,"Keyboard,00"
00:01:19.1299312,"Keyboard,0"
00:01:19.9434247,"DrawFirst,Confirm"
00:01:23.9596354,"Take Money"
00:01:27.2583802,"DrawThird,Return"
00:01:44.5992373,"Task Panel Hide"
00:02:06.0089759,"TransferFirst,Return"
00:02:08.4574328,"TransferFirst,Clear"
00:02:15.6321266,"TransferFirst,Confirm"
00:02:16.3933049,"TransferFirst,Confirm"
00:02:17.1055224,"TransferFirst,Confirm"
00:02:17.7910147,"TransferFirst,Clear"
00:02:18.5513150,"TransferFirst,Confirm"
00:02:19.3811385,"TransferFirst,Return"
00:00:00,"EMPTY Total Time"
