Time,Action
00:00:53.3718465,"CardIn"
00:01:01.3690374,"Keyboard,5"
00:01:01.9320479,"Keyboard,7"
00:01:02.9239546,"Keyboard,9"
00:01:04.6760185,"Keyboard,Cancel"
00:01:06.4820479,"Task Panel Show"
00:01:07.4072340,"CardIn"
00:01:15.2783996,"Keyboard,1"
00:01:15.3114077,"Keyboard,1"
00:01:15.6650710,"Keyboard,5"
00:01:16.1390788,"Keyboard,3"
00:01:16.9445985,"Keyboard,2"
00:01:17.7572805,"Keyboard,5"
00:01:18.2278065,"Keyboard,6"
00:01:22.4173248,"Keyboard,Confirm"
00:01:26.4091951,"Keyboard,1"
00:01:26.8818768,"Keyboard,5"
00:01:27.3035107,"Keyboard,3"
00:01:28.3456125,"Keyboard,2"
00:01:28.7478990,"Keyboard,5"
00:01:29.1168679,"Keyboard,6"
00:01:29.7247602,"Keyboard,Confirm"
00:01:32.6178650,"ChooseTask,Draw"
00:01:34.9058866,"Keyboard,Cancel"
00:01:36.4880597,"Task Panel Hide"
00:01:37.9366089,"ChooseTask,Draw"
00:01:37.9705238,"DrawFirst,3000"
00:01:39.4154176,"Task Panel Show"
00:01:41.8723356,"DrawFirst,1000"
00:01:45.3409935,"Keyboard,Confirm"
00:01:49.7792027,"Take Money"
00:00:00,"EMPTY Total Time"
